ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
TCK-0025,Critical,Resolved,Security,Email not working,Email not working reported by user 987,2025-08-24,2025-09-01,Bob,2025-08-24 03:45:11
TCK-0026,Medium,Resolved,Software,System outage,System outage reported by user 341,2025-11-21,2025-11-26,Charlie,2025-11-21 03:45:11
TCK-0027,Critical,Investigating,Access,Email not working,Email not working reported by user 355,2025-07-04,,Charlie,2025-07-04 03:45:11
TCK-0028,Medium,Resolved,Access,Slow performance,Slow performance reported by user 828,2025-09-27,2025-10-03,Frank,2025-09-27 03:45:11
TCK-0029,Low,Open,Other,VPN failure,VPN failure reported by user 769,2025-09-09,,Charlie,2025-09-09 03:45:11
TCK-0030,Medium,Resolved,Network,Login issue,Login issue reported by user 233,2025-10-15,2025-10-16,Bob,2025-10-15 03:45:11
TCK-0031,Low,Resolved,Hardware,Slow performance,Slow performance reported by user 771,2025-09-29,2025-10-05,Alice,2025-09-29 03:45:11
TCK-0032,Medium,Open,Network,Email not working,Email not working reported by user 397,2025-09-29,,Alice,2025-09-29 03:45:11
TCK-0033,Low,Open,Network,Email not working,Email not working reported by user 974,2025-08-06,,Bob,2025-08-06 03:45:11
TCK-0034,High,Open,Security,Printer error,Printer error reported by user 290,2025-08-14,,Frank,2025-08-14 03:45:11
TCK-0035,Low,Closed,Access,Slow performance,Slow performance reported by user 121,2025-07-03,2025-07-12,Alice,2025-07-03 03:45:11
TCK-0036,Medium,Resolved,Hardware,VPN failure,VPN failure reported by user 992,2025-11-25,2025-11-29,Eve,2025-11-25 03:45:11
TCK-0037,Critical,Closed,Security,Printer error,Printer error reported by user 710,2025-08-22,2025-08-30,David,2025-08-22 03:45:11
TCK-0038,Critical,Closed,Security,Email not working,Email not working reported by user 819,2025-10-09,2025-10-10,Eve,2025-10-09 03:45:11
TCK-0039,Low,Closed,Hardware,VPN failure,VPN failure reported by user 419,2025-09-10,2025-09-14,Alice,2025-09-10 03:45:11
TCK-0040,Medium,Open,Network,Printer error,Printer error reported by user 842,2025-07-13,,Charlie,2025-07-13 03:45:11
TCK-0041,Critical,Open,Hardware,System outage,System outage reported by user 289,2025-08-03,,Frank,2025-08-03 03:45:11
TCK-0042,Low,Resolved,Software,Email not working,Email not working reported by user 920,2025-11-05,2025-11-12,Bob,2025-11-05 03:45:11
TCK-0043,High,Resolved,Access,VPN failure,VPN failure reported by user 718,2025-08-16,2025-08-21,Frank,2025-08-16 03:45:11
TCK-0044,Low,Closed,Other,Email not working,Email not working reported by user 189,2025-09-17,2025-09-19,David,2025-09-17 03:45:11
TCK-0045,Critical,Investigating,Access,Login issue,Login issue reported by user 303,2025-10-20,,Eve,2025-10-20 03:45:11
TCK-0046,Critical,Open,Hardware,Printer error,Printer error reported by user 169,2025-08-01,,Charlie,2025-08-01 03:45:11
TCK-0047,High,Resolved,Software,Login issue,Login issue reported by user 183,2025-10-10,2025-10-19,Eve,2025-10-10 03:45:11
TCK-0048,High,Closed,Software,Login issue,Login issue reported by user 859,2025-06-19,2025-06-28,Charlie,2025-06-19 03:45:11
TCK-0049,Low,Investigating,Security,Slow performance,Slow performance reported by user 370,2025-09-06,,Frank,2025-09-06 03:45:11
TCK-0050,Low,Open,Software,Email not working,Email not working reported by user 271,2025-07-04,,Bob,2025-07-04 03:45:11
TCK-0051,High,Closed,Security,VPN failure,VPN failure reported by user 478,2025-09-30,2025-10-05,Frank,2025-09-30 03:45:11
TCK-0052,High,Open,Other,Slow performance,Slow performance reported by user 301,2025-11-21,,Bob,2025-11-21 03:45:11
TCK-0053,High,Closed,Access,Login issue,Login issue reported by user 754,2025-11-01,2025-11-06,Bob,2025-11-01 03:45:11
TCK-0054,Critical,Investigating,Software,VPN failure,VPN failure reported by user 558,2025-11-17,,Frank,2025-11-17 03:45:11
TCK-0055,Medium,Investigating,Software,Printer error,Printer error reported by user 518,2025-09-16,,Frank,2025-09-16 03:45:11
TCK-0056,Critical,Open,Network,VPN failure,VPN failure reported by user 479,2025-09-24,,Alice,2025-09-24 03:45:11
TCK-0057,Medium,Investigating,Software,VPN failure,VPN failure reported by user 488,2025-11-30,,Charlie,2025-11-30 03:45:11
TCK-0058,Medium,Closed,Software,Printer error,Printer error reported by user 973,2025-10-16,2025-10-22,Eve,2025-10-16 03:45:11
TCK-0059,Critical,Resolved,Security,Login issue,Login issue reported by user 530,2025-11-29,2025-12-06,David,2025-11-29 03:45:11
TCK-0060,Medium,Open,Hardware,Printer error,Printer error reported by user 791,2025-06-15,,David,2025-06-15 03:45:11
TCK-0061,Low,Open,Software,VPN failure,VPN failure reported by user 598,2025-08-18,,Bob,2025-08-18 03:45:11
TCK-0062,Medium,Open,Security,VPN failure,VPN failure reported by user 815,2025-07-09,,Frank,2025-07-09 03:45:11
TCK-0063,Low,Investigating,Access,Slow performance,Slow performance reported by user 758,2025-07-31,,Charlie,2025-07-31 03:45:11
TCK-0064,High,Investigating,Network,System outage,System outage reported by user 328,2025-07-18,,Alice,2025-07-18 03:45:11
TCK-0065,Low,Closed,Security,Printer error,Printer error reported by user 925,2025-07-08,2025-07-13,David,2025-07-08 03:45:11
TCK-0066,Critical,Investigating,Access,Printer error,Printer error reported by user 729,2025-09-11,,Alice,2025-09-11 03:45:11
TCK-0067,Critical,Resolved,Hardware,System outage,System outage reported by user 865,2025-08-20,2025-08-25,Alice,2025-08-20 03:45:11
TCK-0068,Medium,Resolved,Network,System outage,System outage reported by user 424,2025-11-22,2025-11-25,Eve,2025-11-22 03:45:11
TCK-0069,Critical,Open,Other,Email not working,Email not working reported by user 233,2025-06-09,,David,2025-06-09 03:45:11
TCK-0070,High,Closed,Network,Email not working,Email not working reported by user 745,2025-07-28,2025-07-29,Eve,2025-07-28 03:45:11
TCK-0071,Low,Resolved,Network,Slow performance,Slow performance reported by user 293,2025-06-12,2025-06-13,Eve,2025-06-12 03:45:11
TCK-0072,Critical,Investigating,Access,System outage,System outage reported by user 540,2025-08-15,,Bob,2025-08-15 03:45:11
TCK-0073,Low,Resolved,Hardware,Email not working,Email not working reported by user 189,2025-08-10,2025-08-14,Eve,2025-08-10 03:45:11
TCK-0074,High,Investigating,Software,Login issue,Login issue reported by user 840,2025-10-31,,Bob,2025-10-31 03:45:11
TCK-0075,High,Open,Network,Login issue,Login issue reported by user 762,2025-08-31,,Bob,2025-08-31 03:45:11
TCK-0076,High,Open,Access,System outage,System outage reported by user 158,2025-08-03,,Alice,2025-08-03 03:45:11
TCK-0077,Low,Resolved,Access,Slow performance,Slow performance reported by user 521,2025-07-12,2025-07-21,Alice,2025-07-12 03:45:11
TCK-0078,Critical,Resolved,Other,Printer error,Printer error reported by user 133,2025-11-27,2025-12-01,Alice,2025-11-27 03:45:11
TCK-0079,Medium,Open,Access,Printer error,Printer error reported by user 383,2025-11-26,,Alice,2025-11-26 03:45:11
TCK-0080,High,Closed,Software,Slow performance,Slow performance reported by user 725,2025-08-14,2025-08-22,Alice,2025-08-14 03:45:11
TCK-0081,Critical,Resolved,Access,Slow performance,Slow performance reported by user 773,2025-08-19,2025-08-25,Bob,2025-08-19 03:45:11
TCK-0082,High,Resolved,Other,System outage,System outage reported by user 150,2025-10-07,2025-10-17,David,2025-10-07 03:45:11
TCK-0083,Low,Closed,Access,Email not working,Email not working reported by user 323,2025-11-26,2025-11-30,Eve,2025-11-26 03:45:11
TCK-0084,High,Investigating,Other,Email not working,Email not working reported by user 697,2025-07-18,,Charlie,2025-07-18 03:45:11
TCK-0085,Low,Investigating,Hardware,VPN failure,VPN failure reported by user 500,2025-06-26,,Frank,2025-06-26 03:45:11
TCK-0086,Medium,Resolved,Hardware,System outage,System outage reported by user 591,2025-09-02,2025-09-06,Alice,2025-09-02 03:45:11
TCK-0087,Low,Closed,Software,Printer error,Printer error reported by user 284,2025-06-16,2025-06-17,Eve,2025-06-16 03:45:11
TCK-0088,High,Closed,Network,Slow performance,Slow performance reported by user 410,2025-07-29,2025-08-05,David,2025-07-29 03:45:11
TCK-0089,High,Resolved,Access,VPN failure,VPN failure reported by user 242,2025-09-08,2025-09-11,David,2025-09-08 03:45:11
TCK-0090,Critical,Closed,Access,Printer error,Printer error reported by user 951,2025-11-20,2025-11-27,Frank,2025-11-20 03:45:11
TCK-0091,Critical,Investigating,Access,Printer error,Printer error reported by user 771,2025-06-13,,Frank,2025-06-13 03:45:11
TCK-0092,Medium,Investigating,Security,Printer error,Printer error reported by user 795,2025-08-05,,Frank,2025-08-05 03:45:11
TCK-0093,High,Open,Hardware,Login issue,Login issue reported by user 276,2025-09-06,,Charlie,2025-09-06 03:45:11
TCK-0094,Low,Investigating,Hardware,Email not working,Email not working reported by user 776,2025-09-20,,David,2025-09-20 03:45:11
TCK-0095,Medium,Investigating,Hardware,System outage,System outage reported by user 388,2025-11-11,,Alice,2025-11-11 03:45:11
TCK-0096,Low,Investigating,Software,VPN failure,VPN failure reported by user 344,2025-06-25,,David,2025-06-25 03:45:11
TCK-0097,Medium,Closed,Access,VPN failure,VPN failure reported by user 196,2025-11-05,2025-11-13,Frank,2025-11-05 03:45:11
TCK-0098,Medium,Open,Hardware,Printer error,Printer error reported by user 615,2025-09-12,,Eve,2025-09-12 03:45:11
TCK-0099,Medium,Closed,Security,VPN failure,VPN failure reported by user 213,2025-09-24,2025-09-28,Charlie,2025-09-24 03:45:11
TCK-0100,High,Investigating,Security,Email not working,Email not working reported by user 259,2025-06-28,,Alice,2025-06-28 03:45:11
TCK-0101,Medium,Investigating,Security,Email not working,Email not working reported by user 470,2025-10-03,,Alice,2025-10-03 03:45:11
TCK-0102,High,Investigating,Access,Login issue,Login issue reported by user 518,2025-06-12,,Bob,2025-06-12 03:45:11
TCK-0103,Critical,Resolved,Network,Slow performance,Slow performance reported by user 936,2025-10-16,2025-10-26,Charlie,2025-10-16 03:45:11
TCK-0104,Critical,Investigating,Access,VPN failure,VPN failure reported by user 265,2025-11-28,,Frank,2025-11-28 03:45:11
TCK-0105,High,Resolved,Access,System outage,System outage reported by user 793,2025-11-26,2025-12-06,Bob,2025-11-26 03:45:11
TCK-0106,Low,Open,Access,System outage,System outage reported by user 830,2025-09-14,,Frank,2025-09-14 03:45:11
TCK-0107,Low,Resolved,Security,System outage,System outage reported by user 317,2025-10-04,2025-10-12,Frank,2025-10-04 03:45:11
TCK-0108,Critical,Open,Other,System outage,System outage reported by user 919,2025-08-19,,Charlie,2025-08-19 03:45:11
TCK-0109,Critical,Resolved,Software,Slow performance,Slow performance reported by user 989,2025-11-27,2025-12-04,Eve,2025-11-27 03:45:11
TCK-0110,Low,Investigating,Other,Login issue,Login issue reported by user 831,2025-08-13,,Frank,2025-08-13 03:45:11
TCK-0111,Medium,Resolved,Access,Email not working,Email not working reported by user 358,2025-08-16,2025-08-20,Alice,2025-08-16 03:45:11
TCK-0112,Low,Resolved,Network,Printer error,Printer error reported by user 207,2025-11-27,2025-12-02,David,2025-11-27 03:45:11
TCK-0113,Low,Open,Other,Printer error,Printer error reported by user 280,2025-09-30,,Eve,2025-09-30 03:45:11
TCK-0114,Critical,Resolved,Network,System outage,System outage reported by user 171,2025-09-02,2025-09-06,David,2025-09-02 03:45:11
TCK-0115,Medium,Closed,Other,System outage,System outage reported by user 704,2025-09-01,2025-09-08,Charlie,2025-09-01 03:45:11
TCK-0116,Critical,Closed,Access,System outage,System outage reported by user 778,2025-06-16,2025-06-24,Eve,2025-06-16 03:45:11
TCK-0117,High,Resolved,Security,Login issue,Login issue reported by user 132,2025-07-02,2025-07-07,Alice,2025-07-02 03:45:11
TCK-0118,Critical,Resolved,Security,Slow performance,Slow performance reported by user 118,2025-09-17,2025-09-20,Charlie,2025-09-17 03:45:11
TCK-0119,High,Resolved,Software,Slow performance,Slow performance reported by user 986,2025-09-15,2025-09-25,Frank,2025-09-15 03:45:11
TCK-0120,High,Open,Software,Login issue,Login issue reported by user 612,2025-08-05,,Eve,2025-08-05 03:45:11
TCK-0121,Low,Investigating,Access,Login issue,Login issue reported by user 247,2025-06-27,,David,2025-06-27 03:45:11
TCK-0122,Critical,Resolved,Access,Login issue,Login issue reported by user 393,2025-10-25,2025-10-29,David,2025-10-25 03:45:11
TCK-0123,Medium,Open,Access,Slow performance,Slow performance reported by user 557,2025-07-27,,Frank,2025-07-27 03:45:11
TCK-0124,Medium,Resolved,Access,Email not working,Email not working reported by user 933,2025-09-16,2025-09-26,Charlie,2025-09-16 03:45:11
TCK-0125,Low,Open,Security,Printer error,Printer error reported by user 829,2025-07-19,,Alice,2025-07-19 03:45:11
TCK-0126,Critical,Investigating,Hardware,Slow performance,Slow performance reported by user 679,2025-09-07,,Frank,2025-09-07 03:45:11
TCK-0127,High,Closed,Hardware,Slow performance,Slow performance reported by user 801,2025-10-08,2025-10-18,Bob,2025-10-08 03:45:11
TCK-0128,Critical,Investigating,Access,Printer error,Printer error reported by user 200,2025-09-03,,Alice,2025-09-03 03:45:11
TCK-0129,Critical,Investigating,Hardware,Login issue,Login issue reported by user 320,2025-07-23,,Bob,2025-07-23 03:45:11
TCK-0130,High,Investigating,Network,Login issue,Login issue reported by user 195,2025-11-16,,Alice,2025-11-16 03:45:11
TCK-0131,Medium,Open,Network,VPN failure,VPN failure reported by user 970,2025-07-13,,David,2025-07-13 03:45:11
TCK-0132,Low,Closed,Other,System outage,System outage reported by user 806,2025-08-08,2025-08-11,Eve,2025-08-08 03:45:11
TCK-0133,High,Open,Software,System outage,System outage reported by user 811,2025-10-11,,Eve,2025-10-11 03:45:11
TCK-0134,Low,Investigating,Hardware,Login issue,Login issue reported by user 894,2025-10-27,,David,2025-10-27 03:45:11
TCK-0135,High,Closed,Access,Email not working,Email not working reported by user 236,2025-08-05,2025-08-08,Alice,2025-08-05 03:45:11
TCK-0136,Medium,Investigating,Software,Slow performance,Slow performance reported by user 909,2025-08-18,,David,2025-08-18 03:45:11
TCK-0137,Medium,Closed,Access,Printer error,Printer error reported by user 150,2025-08-21,2025-08-31,Charlie,2025-08-21 03:45:11
TCK-0138,Critical,Open,Software,Printer error,Printer error reported by user 711,2025-10-27,,Alice,2025-10-27 03:45:11
TCK-0139,Critical,Investigating,Other,Email not working,Email not working reported by user 627,2025-10-04,,David,2025-10-04 03:45:11
TCK-0140,Low,Closed,Security,System outage,System outage reported by user 248,2025-11-09,2025-11-15,Bob,2025-11-09 03:45:11
TCK-0141,High,Closed,Security,Email not working,Email not working reported by user 278,2025-07-27,2025-08-02,Frank,2025-07-27 03:45:11
TCK-0142,Medium,Closed,Software,VPN failure,VPN failure reported by user 784,2025-08-11,2025-08-12,Alice,2025-08-11 03:45:11
TCK-0143,Low,Resolved,Other,Email not working,Email not working reported by user 935,2025-07-24,2025-07-30,Bob,2025-07-24 03:45:11
TCK-0144,Critical,Resolved,Hardware,System outage,System outage reported by user 338,2025-11-11,2025-11-19,Charlie,2025-11-11 03:45:11
TCK-0145,Medium,Closed,Access,Printer error,Printer error reported by user 166,2025-11-19,2025-11-29,Frank,2025-11-19 03:45:11
TCK-0146,Medium,Investigating,Network,Login issue,Login issue reported by user 616,2025-09-23,,Frank,2025-09-23 03:45:11
TCK-0147,Low,Investigating,Software,Slow performance,Slow performance reported by user 208,2025-11-28,,David,2025-11-28 03:45:11
TCK-0148,High,Closed,Network,Email not working,Email not working reported by user 273,2025-11-06,2025-11-13,Frank,2025-11-06 03:45:11
TCK-0149,Low,Open,Other,System outage,System outage reported by user 664,2025-09-09,,Alice,2025-09-09 03:45:11
TCK-0150,High,Investigating,Access,Login issue,Login issue reported by user 592,2025-08-17,,Alice,2025-08-17 03:45:11
TCK-0151,Critical,Closed,Software,System outage,System outage reported by user 214,2025-07-25,2025-08-04,Frank,2025-07-25 03:45:11
TCK-0152,Medium,Resolved,Other,Slow performance,Slow performance reported by user 303,2025-10-06,2025-10-08,Bob,2025-10-06 03:45:11
TCK-0153,High,Open,Other,Login issue,Login issue reported by user 860,2025-09-02,,Alice,2025-09-02 03:45:11
TCK-0154,Low,Investigating,Access,VPN failure,VPN failure reported by user 390,2025-07-22,,Alice,2025-07-22 03:45:11
TCK-0155,Low,Closed,Access,Slow performance,Slow performance reported by user 497,2025-07-28,2025-08-06,Frank,2025-07-28 03:45:11
TCK-0156,Medium,Open,Network,System outage,System outage reported by user 683,2025-11-16,,Bob,2025-11-16 03:45:11
TCK-0157,Low,Open,Network,System outage,System outage reported by user 998,2025-06-17,,Bob,2025-06-17 03:45:11
TCK-0158,Low,Open,Access,Slow performance,Slow performance reported by user 966,2025-11-03,,Charlie,2025-11-03 03:45:11
TCK-0159,Critical,Investigating,Network,Login issue,Login issue reported by user 290,2025-11-04,,Eve,2025-11-04 03:45:11
TCK-0160,High,Closed,Access,Login issue,Login issue reported by user 651,2025-06-17,2025-06-18,Bob,2025-06-17 03:45:11
TCK-0161,Low,Resolved,Other,Login issue,Login issue reported by user 821,2025-10-18,2025-10-23,Bob,2025-10-18 03:45:11
TCK-0162,Critical,Open,Other,Printer error,Printer error reported by user 358,2025-12-01,,Frank,2025-12-01 03:45:11
TCK-0163,Medium,Closed,Software,VPN failure,VPN failure reported by user 290,2025-09-22,2025-09-26,David,2025-09-22 03:45:11
TCK-0164,Critical,Closed,Security,System outage,System outage reported by user 809,2025-06-30,2025-07-03,Alice,2025-06-30 03:45:11
TCK-0165,Medium,Resolved,Other,Email not working,Email not working reported by user 557,2025-07-09,2025-07-14,Eve,2025-07-09 03:45:11
TCK-0166,Low,Open,Hardware,System outage,System outage reported by user 170,2025-07-22,,Alice,2025-07-22 03:45:11
TCK-0167,Medium,Closed,Software,Login issue,Login issue reported by user 475,2025-06-14,2025-06-17,David,2025-06-14 03:45:11
TCK-0168,Low,Open,Hardware,Printer error,Printer error reported by user 272,2025-06-15,,Frank,2025-06-15 03:45:11
TCK-0169,Low,Resolved,Security,VPN failure,VPN failure reported by user 411,2025-10-31,2025-11-09,Eve,2025-10-31 03:45:11
TCK-0170,Low,Closed,Access,System outage,System outage reported by user 577,2025-10-13,2025-10-19,Frank,2025-10-13 03:45:11
TCK-0171,Medium,Closed,Access,System outage,System outage reported by user 826,2025-10-31,2025-11-05,Eve,2025-10-31 03:45:11
TCK-0172,High,Resolved,Access,VPN failure,VPN failure reported by user 824,2025-09-09,2025-09-17,David,2025-09-09 03:45:11
TCK-0173,Medium,Resolved,Software,VPN failure,VPN failure reported by user 367,2025-07-04,2025-07-07,Alice,2025-07-04 03:45:11
TCK-0174,Medium,Resolved,Other,Email not working,Email not working reported by user 349,2025-10-05,2025-10-08,Eve,2025-10-05 03:45:11
TCK-0175,Medium,Investigating,Security,Login issue,Login issue reported by user 321,2025-11-18,,Frank,2025-11-18 03:45:11
TCK-0176,High,Open,Access,Slow performance,Slow performance reported by user 421,2025-10-03,,David,2025-10-03 03:45:11
TCK-0177,High,Resolved,Other,Printer error,Printer error reported by user 224,2025-09-13,2025-09-17,Eve,2025-09-13 03:45:11
TCK-0178,Critical,Closed,Security,VPN failure,VPN failure reported by user 917,2025-11-04,2025-11-11,Charlie,2025-11-04 03:45:11
TCK-0179,Medium,Resolved,Access,Slow performance,Slow performance reported by user 145,2025-10-11,2025-10-15,Bob,2025-10-11 03:45:11
TCK-0180,Low,Resolved,Access,VPN failure,VPN failure reported by user 265,2025-10-28,2025-11-01,Charlie,2025-10-28 03:45:11
TCK-0181,Critical,Open,Software,System outage,System outage reported by user 158,2025-08-29,,Eve,2025-08-29 03:45:11
TCK-0182,Medium,Resolved,Network,System outage,System outage reported by user 438,2025-10-04,2025-10-07,Bob,2025-10-04 03:45:11
TCK-0183,Low,Resolved,Other,Printer error,Printer error reported by user 262,2025-08-23,2025-08-28,Eve,2025-08-23 03:45:11
TCK-0184,Low,Open,Hardware,VPN failure,VPN failure reported by user 981,2025-07-19,,Eve,2025-07-19 03:45:11
TCK-0185,Low,Open,Network,Slow performance,Slow performance reported by user 820,2025-09-18,,Frank,2025-09-18 03:45:11
TCK-0186,Low,Closed,Hardware,Printer error,Printer error reported by user 267,2025-06-14,2025-06-23,Frank,2025-06-14 03:45:11
TCK-0187,High,Investigating,Network,Printer error,Printer error reported by user 963,2025-07-29,,David,2025-07-29 03:45:11
TCK-0188,Low,Investigating,Security,Email not working,Email not working reported by user 351,2025-10-30,,Alice,2025-10-30 03:45:11
TCK-0189,High,Closed,Security,System outage,System outage reported by user 193,2025-06-08,2025-06-11,Bob,2025-06-08 03:45:11
TCK-0190,Medium,Closed,Security,VPN failure,VPN failure reported by user 700,2025-06-20,2025-06-28,Alice,2025-06-20 03:45:11
TCK-0191,Critical,Open,Software,Printer error,Printer error reported by user 713,2025-10-23,,Eve,2025-10-23 03:45:11
TCK-0192,High,Open,Hardware,Slow performance,Slow performance reported by user 320,2025-10-13,,David,2025-10-13 03:45:11
TCK-0193,Critical,Investigating,Access,System outage,System outage reported by user 492,2025-06-14,,Bob,2025-06-14 03:45:11
TCK-0194,Critical,Investigating,Other,System outage,System outage reported by user 944,2025-06-13,,Frank,2025-06-13 03:45:11
TCK-0195,High,Resolved,Hardware,Printer error,Printer error reported by user 584,2025-09-15,2025-09-17,Eve,2025-09-15 03:45:11
TCK-0196,Medium,Closed,Software,VPN failure,VPN failure reported by user 622,2025-11-12,2025-11-13,David,2025-11-12 03:45:11
TCK-0197,Critical,Open,Access,VPN failure,VPN failure reported by user 608,2025-10-10,,Charlie,2025-10-10 03:45:11
TCK-0198,Low,Resolved,Access,Email not working,Email not working reported by user 803,2025-10-10,2025-10-11,David,2025-10-10 03:45:11
TCK-0199,Low,Closed,Security,Printer error,Printer error reported by user 384,2025-10-20,2025-10-26,Bob,2025-10-20 03:45:11
TCK-0200,Medium,Resolved,Access,System outage,System outage reported by user 197,2025-09-21,2025-10-01,Frank,2025-09-21 03:45:11
TCK-0201,Medium,Closed,Access,VPN failure,VPN failure reported by user 942,2025-08-06,2025-08-10,Charlie,2025-08-06 03:45:11
TCK-0202,Critical,Open,Hardware,Slow performance,Slow performance reported by user 904,2025-10-16,,David,2025-10-16 03:45:11
TCK-0203,Critical,Open,Hardware,Login issue,Login issue reported by user 110,2025-09-17,,Alice,2025-09-17 03:45:11
TCK-0204,Low,Closed,Software,Slow performance,Slow performance reported by user 471,2025-11-29,2025-12-03,Alice,2025-11-29 03:45:11
TCK-0205,High,Investigating,Security,System outage,System outage reported by user 823,2025-09-02,,Charlie,2025-09-02 03:45:11
TCK-0206,Critical,Investigating,Hardware,Email not working,Email not working reported by user 214,2025-07-18,,Alice,2025-07-18 03:45:11
TCK-0207,High,Open,Software,Printer error,Printer error reported by user 504,2025-08-13,,Alice,2025-08-13 03:45:11
TCK-0208,Medium,Open,Network,Printer error,Printer error reported by user 208,2025-08-06,,Frank,2025-08-06 03:45:11
TCK-0209,High,Open,Other,VPN failure,VPN failure reported by user 418,2025-09-07,,Frank,2025-09-07 03:45:11
TCK-0210,Low,Open,Network,System outage,System outage reported by user 811,2025-10-06,,David,2025-10-06 03:45:11
TCK-0211,Medium,Open,Other,Login issue,Login issue reported by user 853,2025-11-16,,Eve,2025-11-16 03:45:11
TCK-0212,High,Investigating,Access,System outage,System outage reported by user 982,2025-06-28,,Frank,2025-06-28 03:45:11
TCK-0213,Low,Closed,Hardware,Login issue,Login issue reported by user 155,2025-08-23,2025-08-24,Alice,2025-08-23 03:45:11
TCK-0214,Medium,Resolved,Hardware,VPN failure,VPN failure reported by user 987,2025-06-19,2025-06-26,Charlie,2025-06-19 03:45:11
TCK-0215,Medium,Open,Software,VPN failure,VPN failure reported by user 388,2025-12-04,,Alice,2025-12-04 03:45:11
TCK-0216,High,Investigating,Network,Printer error,Printer error reported by user 113,2025-08-12,,Alice,2025-08-12 03:45:11
TCK-0217,Medium,Resolved,Network,System outage,System outage reported by user 575,2025-08-27,2025-08-30,Eve,2025-08-27 03:45:11
TCK-0218,Critical,Resolved,Access,System outage,System outage reported by user 293,2025-08-21,2025-08-23,Eve,2025-08-21 03:45:11
TCK-0219,Low,Investigating,Network,Slow performance,Slow performance reported by user 580,2025-07-19,,Bob,2025-07-19 03:45:11
TCK-0220,High,Open,Hardware,System outage,System outage reported by user 433,2025-08-19,,David,2025-08-19 03:45:11
TCK-0221,Low,Investigating,Hardware,VPN failure,VPN failure reported by user 955,2025-09-21,,Frank,2025-09-21 03:45:11
TCK-0222,High,Investigating,Network,Email not working,Email not working reported by user 873,2025-09-26,,David,2025-09-26 03:45:11
TCK-0223,High,Investigating,Hardware,Email not working,Email not working reported by user 283,2025-11-01,,David,2025-11-01 03:45:11
TCK-0224,Critical,Open,Network,System outage,System outage reported by user 876,2025-06-11,,Eve,2025-06-11 03:45:11
TCK-0225,High,Closed,Hardware,Login issue,Login issue reported by user 154,2025-12-01,2025-12-04,Frank,2025-12-01 03:45:11
