dataset_name,category,source,last_updated,record_count,file_size_mb,created_at
Dataset_0045,Transportation,Open Data Portal,2025-04-27,453644,92.06,2025-04-27 03:47:13
Dataset_0046,Healthcare,Internal System,2025-10-20,296707,424.64,2025-10-20 03:47:13
Dataset_0047,Cybersecurity,Open Data Portal,2025-10-22,738170,499.78,2025-10-22 03:47:13
Dataset_0048,Retail,Internal System,2025-10-16,70465,48.03,2025-10-16 03:47:13
Dataset_0049,Retail,Third-Party Vendor,2025-08-16,292970,89.22,2025-08-16 03:47:13
Dataset_0050,Retail,Internal System,2025-04-30,186723,328.9,2025-04-30 03:47:13
Dataset_0051,Finance,API Feed,2025-10-23,702698,420.68,2025-10-23 03:47:13
Dataset_0052,Finance,Third-Party Vendor,2025-12-04,578004,267.46,2025-12-04 03:47:13
Dataset_0053,Cybersecurity,API Feed,2025-12-02,470886,193.2,2025-12-02 03:47:13
Dataset_0054,Cybersecurity,User Upload,2025-04-03,299647,372.44,2025-04-03 03:47:13
Dataset_0055,Healthcare,Internal System,2025-01-06,792476,103.95,2025-01-06 03:47:13
Dataset_0056,Education,API Feed,2025-02-25,372690,83.14,2025-02-25 03:47:13
Dataset_0057,Transportation,Third-Party Vendor,2025-10-26,741816,86.19,2025-10-26 03:47:13
Dataset_0058,Healthcare,Third-Party Vendor,2025-01-14,575917,360.56,2025-01-14 03:47:13
Dataset_0059,Healthcare,Open Data Portal,2025-04-02,461422,387.75,2025-04-02 03:47:13
Dataset_0060,Healthcare,API Feed,2025-01-28,853970,271.05,2025-01-28 03:47:13
Dataset_0061,Education,API Feed,2025-07-15,641317,44.32,2025-07-15 03:47:13
Dataset_0062,Cybersecurity,API Feed,2025-05-15,352958,96.17,2025-05-15 03:47:13
Dataset_0063,Transportation,API Feed,2025-01-10,674691,312.58,2025-01-10 03:47:13
Dataset_0064,Retail,Third-Party Vendor,2025-08-09,37457,331.91,2025-08-09 03:47:13
Dataset_0065,Retail,Open Data Portal,2025-01-28,845989,155.24,2025-01-28 03:47:13
Dataset_0066,Education,Internal System,2025-04-24,745765,268.03,2025-04-24 03:47:13
Dataset_0067,Healthcare,Open Data Portal,2025-03-11,822402,381.36,2025-03-11 03:47:13
Dataset_0068,Transportation,User Upload,2025-05-27,37449,377.61,2025-05-27 03:47:13
Dataset_0069,Cybersecurity,Open Data Portal,2025-01-22,651388,322.13,2025-01-22 03:47:13
Dataset_0070,Healthcare,User Upload,2025-11-01,711168,499.58,2025-11-01 03:47:13
Dataset_0071,Education,Internal System,2025-04-21,426132,487.93,2025-04-21 03:47:13
Dataset_0072,Healthcare,Open Data Portal,2025-05-25,668637,58.23,2025-05-25 03:47:13
Dataset_0073,Healthcare,User Upload,2025-11-14,388117,315.1,2025-11-14 03:47:13
Dataset_0074,Transportation,User Upload,2025-05-21,503942,400.25,2025-05-21 03:47:13
Dataset_0075,Transportation,API Feed,2025-01-25,608859,429.79,2025-01-25 03:47:13
Dataset_0076,Retail,Internal System,2025-07-16,819883,381.17,2025-07-16 03:47:13
Dataset_0077,Transportation,Open Data Portal,2025-04-26,844798,1.64,2025-04-26 03:47:13
Dataset_0078,Healthcare,Third-Party Vendor,2025-05-04,154386,172.89,2025-05-04 03:47:13
Dataset_0079,Healthcare,User Upload,2025-03-22,158080,2.0,2025-03-22 03:47:13
Dataset_0080,Finance,Open Data Portal,2025-07-06,618282,398.59,2025-07-06 03:47:13
Dataset_0081,Retail,Third-Party Vendor,2025-08-15,69398,376.76,2025-08-15 03:47:13
Dataset_0082,Cybersecurity,Third-Party Vendor,2025-11-04,251971,115.05,2025-11-04 03:47:13
Dataset_0083,Education,Internal System,2025-09-27,869874,216.33,2025-09-27 03:47:13
Dataset_0084,Education,Open Data Portal,2025-07-13,439675,303.41,2025-07-13 03:47:13
Dataset_0085,Transportation,Internal System,2025-11-12,395137,267.21,2025-11-12 03:47:13
Dataset_0086,Healthcare,Internal System,2024-12-16,278644,253.82,2024-12-16 03:47:13
Dataset_0087,Cybersecurity,Open Data Portal,2025-01-26,54929,66.09,2025-01-26 03:47:13
Dataset_0088,Cybersecurity,Internal System,2025-04-07,992281,136.19,2025-04-07 03:47:13
Dataset_0089,Education,Open Data Portal,2025-05-08,895073,214.38,2025-05-08 03:47:13
Dataset_0090,Healthcare,User Upload,2025-03-31,817408,459.0,2025-03-31 03:47:13
Dataset_0091,Finance,Third-Party Vendor,2025-04-23,780935,280.03,2025-04-23 03:47:13
Dataset_0092,Healthcare,Third-Party Vendor,2025-04-29,392302,90.85,2025-04-29 03:47:13
Dataset_0093,Cybersecurity,API Feed,2025-03-08,118947,191.25,2025-03-08 03:47:13
Dataset_0094,Finance,Internal System,2025-09-25,985886,210.32,2025-09-25 03:47:13
Dataset_0095,Cybersecurity,User Upload,2025-11-25,382397,427.95,2025-11-25 03:47:13
Dataset_0096,Healthcare,User Upload,2025-11-03,262689,368.33,2025-11-03 03:47:13
Dataset_0097,Retail,API Feed,2025-02-07,540183,44.47,2025-02-07 03:47:13
Dataset_0098,Retail,Third-Party Vendor,2025-04-26,733947,335.13,2025-04-26 03:47:13
Dataset_0099,Finance,Third-Party Vendor,2025-04-04,818972,179.13,2025-04-04 03:47:13
Dataset_0100,Transportation,API Feed,2024-12-24,466215,65.98,2024-12-24 03:47:13
Dataset_0101,Education,User Upload,2025-05-29,400005,460.45,2025-05-29 03:47:13
Dataset_0102,Cybersecurity,User Upload,2025-10-23,988471,463.49,2025-10-23 03:47:13
Dataset_0103,Transportation,Open Data Portal,2025-05-19,275691,336.72,2025-05-19 03:47:13
Dataset_0104,Transportation,Third-Party Vendor,2025-09-18,528313,139.58,2025-09-18 03:47:13
Dataset_0105,Education,Internal System,2025-02-12,936115,271.89,2025-02-12 03:47:13
Dataset_0106,Transportation,User Upload,2025-01-21,806974,61.78,2025-01-21 03:47:13
Dataset_0107,Cybersecurity,Open Data Portal,2025-10-24,316000,26.99,2025-10-24 03:47:13
Dataset_0108,Healthcare,User Upload,2025-01-12,911760,30.67,2025-01-12 03:47:13
Dataset_0109,Transportation,Internal System,2025-10-14,455157,227.42,2025-10-14 03:47:13
Dataset_0110,Retail,Third-Party Vendor,2025-04-07,917732,123.92,2025-04-07 03:47:13
Dataset_0111,Retail,Internal System,2025-10-16,371065,46.87,2025-10-16 03:47:13
Dataset_0112,Cybersecurity,API Feed,2024-12-28,130827,283.55,2024-12-28 03:47:13
Dataset_0113,Cybersecurity,API Feed,2025-06-28,140606,247.82,2025-06-28 03:47:13
Dataset_0114,Finance,Third-Party Vendor,2025-10-20,432172,124.46,2025-10-20 03:47:13
Dataset_0115,Cybersecurity,API Feed,2024-12-25,721337,244.6,2024-12-25 03:47:13
Dataset_0116,Education,API Feed,2025-06-18,951517,401.3,2025-06-18 03:47:13
Dataset_0117,Finance,Open Data Portal,2025-06-18,253563,489.09,2025-06-18 03:47:13
Dataset_0118,Transportation,Open Data Portal,2025-05-15,328448,50.36,2025-05-15 03:47:13
Dataset_0119,Finance,API Feed,2025-03-19,504392,335.18,2025-03-19 03:47:13
Dataset_0120,Education,Open Data Portal,2025-11-30,222984,231.57,2025-11-30 03:47:13
Dataset_0121,Finance,Internal System,2025-02-20,900890,460.17,2025-02-20 03:47:13
Dataset_0122,Finance,Open Data Portal,2025-08-23,554218,184.25,2025-08-23 03:47:13
Dataset_0123,Retail,API Feed,2025-07-29,939487,438.9,2025-07-29 03:47:13
Dataset_0124,Finance,Open Data Portal,2025-07-05,579221,240.33,2025-07-05 03:47:13
Dataset_0125,Healthcare,User Upload,2025-01-13,146821,381.5,2025-01-13 03:47:13
Dataset_0126,Cybersecurity,User Upload,2025-04-18,405710,37.54,2025-04-18 03:47:13
Dataset_0127,Cybersecurity,Third-Party Vendor,2025-09-24,865684,234.7,2025-09-24 03:47:13
Dataset_0128,Retail,User Upload,2025-10-01,9539,319.3,2025-10-01 03:47:13
Dataset_0129,Finance,User Upload,2025-08-13,751817,196.52,2025-08-13 03:47:13
Dataset_0130,Cybersecurity,Third-Party Vendor,2024-12-16,505800,138.6,2024-12-16 03:47:13
Dataset_0131,Cybersecurity,API Feed,2025-01-08,635604,492.42,2025-01-08 03:47:13
Dataset_0132,Retail,User Upload,2025-07-09,447154,372.4,2025-07-09 03:47:13
Dataset_0133,Transportation,API Feed,2024-12-07,450910,475.93,2024-12-07 03:47:13
Dataset_0134,Education,Open Data Portal,2025-04-13,867304,311.21,2025-04-13 03:47:13
Dataset_0135,Retail,Internal System,2025-06-03,786799,141.74,2025-06-03 03:47:13
Dataset_0136,Healthcare,Third-Party Vendor,2025-06-07,278377,369.32,2025-06-07 03:47:13
Dataset_0137,Retail,API Feed,2025-03-21,396456,281.55,2025-03-21 03:47:13
Dataset_0138,Finance,Open Data Portal,2025-05-14,626026,434.59,2025-05-14 03:47:13
Dataset_0139,Retail,Open Data Portal,2025-04-06,372294,192.96,2025-04-06 03:47:13
Dataset_0140,Transportation,User Upload,2025-12-03,300721,287.71,2025-12-03 03:47:13
Dataset_0141,Finance,Third-Party Vendor,2025-11-18,5491,186.26,2025-11-18 03:47:13
Dataset_0142,Cybersecurity,User Upload,2025-04-17,598725,8.05,2025-04-17 03:47:13
Dataset_0143,Education,Third-Party Vendor,2025-04-19,983726,182.42,2025-04-19 03:47:13
Dataset_0144,Cybersecurity,API Feed,2025-01-10,691472,65.9,2025-01-10 03:47:13
Dataset_0145,Education,Third-Party Vendor,2025-09-14,81495,62.87,2025-09-14 03:47:13
Dataset_0146,Cybersecurity,User Upload,2025-05-24,627687,135.13,2025-05-24 03:47:13
Dataset_0147,Retail,User Upload,2025-07-14,674090,142.7,2025-07-14 03:47:13
Dataset_0148,Healthcare,Open Data Portal,2025-03-27,833234,434.18,2025-03-27 03:47:13
Dataset_0149,Education,Open Data Portal,2025-01-04,887991,335.91,2025-01-04 03:47:13
Dataset_0150,Healthcare,Open Data Portal,2025-10-17,697272,236.61,2025-10-17 03:47:13
Dataset_0151,Healthcare,Internal System,2025-05-30,464751,340.01,2025-05-30 03:47:13
Dataset_0152,Retail,User Upload,2025-02-28,783360,104.83,2025-02-28 03:47:13
Dataset_0153,Healthcare,User Upload,2025-08-10,22514,43.82,2025-08-10 03:47:13
Dataset_0154,Cybersecurity,API Feed,2025-03-02,768210,136.24,2025-03-02 03:47:13
Dataset_0155,Healthcare,Third-Party Vendor,2025-06-22,674234,426.02,2025-06-22 03:47:13
Dataset_0156,Healthcare,User Upload,2025-05-07,972340,185.02,2025-05-07 03:47:13
Dataset_0157,Retail,User Upload,2025-08-22,760309,194.76,2025-08-22 03:47:13
Dataset_0158,Finance,Third-Party Vendor,2025-09-04,902061,329.53,2025-09-04 03:47:13
Dataset_0159,Healthcare,User Upload,2025-01-24,772103,307.44,2025-01-24 03:47:13
Dataset_0160,Retail,API Feed,2025-02-26,176101,192.36,2025-02-26 03:47:13
Dataset_0161,Education,Internal System,2025-04-02,635356,325.95,2025-04-02 03:47:13
Dataset_0162,Education,Open Data Portal,2025-04-20,139921,30.78,2025-04-20 03:47:13
Dataset_0163,Retail,Internal System,2025-02-16,400367,87.83,2025-02-16 03:47:13
Dataset_0164,Healthcare,Third-Party Vendor,2025-02-20,946119,298.0,2025-02-20 03:47:13
Dataset_0165,Transportation,Open Data Portal,2025-10-02,653342,221.83,2025-10-02 03:47:13
Dataset_0166,Transportation,Internal System,2025-02-25,546126,298.86,2025-02-25 03:47:13
Dataset_0167,Finance,Open Data Portal,2025-08-08,197592,21.87,2025-08-08 03:47:13
Dataset_0168,Cybersecurity,User Upload,2025-11-06,80744,445.58,2025-11-06 03:47:13
Dataset_0169,Cybersecurity,Third-Party Vendor,2025-11-28,63282,359.15,2025-11-28 03:47:13
Dataset_0170,Retail,Internal System,2025-02-04,703641,362.5,2025-02-04 03:47:13
Dataset_0171,Healthcare,Open Data Portal,2025-06-11,775869,383.03,2025-06-11 03:47:13
Dataset_0172,Cybersecurity,API Feed,2025-03-12,646610,192.61,2025-03-12 03:47:13
Dataset_0173,Education,Internal System,2025-06-07,979059,374.57,2025-06-07 03:47:13
Dataset_0174,Finance,Open Data Portal,2025-09-09,233680,236.57,2025-09-09 03:47:13
Dataset_0175,Education,Internal System,2025-01-29,825438,443.95,2025-01-29 03:47:13
Dataset_0176,Finance,Internal System,2025-09-05,405188,315.42,2025-09-05 03:47:13
Dataset_0177,Education,Open Data Portal,2025-08-30,860902,270.81,2025-08-30 03:47:13
Dataset_0178,Retail,Open Data Portal,2025-06-02,348884,483.96,2025-06-02 03:47:13
Dataset_0179,Cybersecurity,Third-Party Vendor,2025-08-31,439876,71.7,2025-08-31 03:47:13
Dataset_0180,Cybersecurity,User Upload,2025-05-04,81415,46.1,2025-05-04 03:47:13
Dataset_0181,Education,Third-Party Vendor,2025-09-28,882264,122.89,2025-09-28 03:47:13
Dataset_0182,Healthcare,API Feed,2025-12-05,420721,477.24,2025-12-05 03:47:13
Dataset_0183,Cybersecurity,User Upload,2025-10-24,603550,125.45,2025-10-24 03:47:13
Dataset_0184,Cybersecurity,User Upload,2025-09-01,891568,137.46,2025-09-01 03:47:13
Dataset_0185,Cybersecurity,Internal System,2025-10-03,116679,335.72,2025-10-03 03:47:13
Dataset_0186,Cybersecurity,Open Data Portal,2025-08-30,617768,146.3,2025-08-30 03:47:13
Dataset_0187,Education,API Feed,2025-06-21,185816,173.14,2025-06-21 03:47:13
Dataset_0188,Cybersecurity,User Upload,2025-07-13,322746,208.39,2025-07-13 03:47:13
Dataset_0189,Cybersecurity,User Upload,2025-07-10,999856,459.25,2025-07-10 03:47:13
Dataset_0190,Education,User Upload,2025-03-02,257866,130.71,2025-03-02 03:47:13
Dataset_0191,Retail,Internal System,2025-08-07,337591,70.8,2025-08-07 03:47:13
Dataset_0192,Finance,Open Data Portal,2025-10-07,633021,301.64,2025-10-07 03:47:13
Dataset_0193,Education,Internal System,2025-01-18,310649,405.7,2025-01-18 03:47:13
Dataset_0194,Healthcare,User Upload,2025-08-20,146515,449.49,2025-08-20 03:47:13
Dataset_0195,Healthcare,Open Data Portal,2025-05-26,872923,81.95,2025-05-26 03:47:13
Dataset_0196,Transportation,Third-Party Vendor,2025-06-14,363131,341.8,2025-06-14 03:47:13
Dataset_0197,Transportation,Third-Party Vendor,2025-03-05,627721,445.39,2025-03-05 03:47:13
Dataset_0198,Transportation,API Feed,2025-12-05,386777,214.7,2025-12-05 03:47:13
Dataset_0199,Education,User Upload,2025-05-31,152287,376.48,2025-05-31 03:47:13
Dataset_0200,Transportation,Internal System,2025-06-19,589614,241.28,2025-06-19 03:47:13
Dataset_0201,Transportation,Third-Party Vendor,2025-03-03,461735,103.75,2025-03-03 03:47:13
Dataset_0202,Education,User Upload,2025-07-14,441315,99.33,2025-07-14 03:47:13
Dataset_0203,Education,User Upload,2025-05-06,994639,474.59,2025-05-06 03:47:13
Dataset_0204,Finance,User Upload,2025-07-20,967935,47.73,2025-07-20 03:47:13
Dataset_0205,Finance,Open Data Portal,2025-04-07,947739,395.23,2025-04-07 03:47:13
Dataset_0206,Cybersecurity,User Upload,2025-03-07,260137,429.95,2025-03-07 03:47:13
Dataset_0207,Healthcare,User Upload,2025-05-09,823884,382.72,2025-05-09 03:47:13
Dataset_0208,Transportation,User Upload,2025-04-26,349368,414.43,2025-04-26 03:47:13
Dataset_0209,Cybersecurity,Internal System,2025-03-15,803844,346.29,2025-03-15 03:47:13
Dataset_0210,Education,Third-Party Vendor,2025-04-28,165129,245.36,2025-04-28 03:47:13
Dataset_0211,Retail,Open Data Portal,2024-12-12,418929,311.13,2024-12-12 03:47:13
Dataset_0212,Cybersecurity,API Feed,2025-06-03,314455,351.63,2025-06-03 03:47:13
Dataset_0213,Education,Open Data Portal,2025-01-07,86870,87.61,2025-01-07 03:47:13
Dataset_0214,Transportation,API Feed,2025-09-24,590928,479.84,2025-09-24 03:47:13
Dataset_0215,Retail,Open Data Portal,2025-05-08,117392,433.04,2025-05-08 03:47:13
Dataset_0216,Cybersecurity,User Upload,2025-01-06,456996,293.7,2025-01-06 03:47:13
Dataset_0217,Finance,Internal System,2025-02-15,451536,478.73,2025-02-15 03:47:13
Dataset_0218,Education,API Feed,2025-01-05,426254,453.12,2025-01-05 03:47:13
Dataset_0219,Healthcare,Third-Party Vendor,2024-12-31,615878,443.64,2024-12-31 03:47:13
Dataset_0220,Retail,Third-Party Vendor,2025-04-01,181582,188.84,2025-04-01 03:47:13
Dataset_0221,Transportation,API Feed,2025-08-30,985298,363.16,2025-08-30 03:47:13
Dataset_0222,Transportation,User Upload,2025-05-04,394827,53.25,2025-05-04 03:47:13
Dataset_0223,Education,API Feed,2025-02-21,89321,217.62,2025-02-21 03:47:13
Dataset_0224,Education,Internal System,2025-04-09,631014,133.19,2025-04-09 03:47:13
Dataset_0225,Healthcare,User Upload,2025-01-02,327147,380.2,2025-01-02 03:47:13
Dataset_0226,Cybersecurity,Open Data Portal,2025-07-23,637985,193.75,2025-07-23 03:47:13
Dataset_0227,Transportation,User Upload,2025-02-15,596454,0.74,2025-02-15 03:47:13
Dataset_0228,Transportation,Third-Party Vendor,2025-09-22,474320,16.4,2025-09-22 03:47:13
Dataset_0229,Education,Open Data Portal,2025-09-26,575367,59.17,2025-09-26 03:47:13
Dataset_0230,Transportation,Third-Party Vendor,2025-01-20,695129,424.58,2025-01-20 03:47:13
Dataset_0231,Healthcare,Third-Party Vendor,2025-09-17,24556,36.06,2025-09-17 03:47:13
Dataset_0232,Education,Third-Party Vendor,2025-10-19,418773,42.91,2025-10-19 03:47:13
Dataset_0233,Retail,Open Data Portal,2024-12-28,397958,14.28,2024-12-28 03:47:13
Dataset_0234,Cybersecurity,Internal System,2025-11-24,587718,295.29,2025-11-24 03:47:13
Dataset_0235,Finance,User Upload,2025-02-05,203357,258.96,2025-02-05 03:47:13
Dataset_0236,Transportation,Internal System,2025-04-16,940326,416.49,2025-04-16 03:47:13
Dataset_0237,Transportation,API Feed,2025-05-23,122598,309.58,2025-05-23 03:47:13
Dataset_0238,Healthcare,Internal System,2025-10-01,25867,465.74,2025-10-01 03:47:13
Dataset_0239,Transportation,Open Data Portal,2025-02-01,871932,431.41,2025-02-01 03:47:13
Dataset_0240,Retail,User Upload,2025-11-22,483771,254.12,2025-11-22 03:47:13
Dataset_0241,Education,Third-Party Vendor,2025-09-06,378034,208.62,2025-09-06 03:47:13
Dataset_0242,Healthcare,User Upload,2024-12-21,50651,316.3,2024-12-21 03:47:13
Dataset_0243,Retail,Open Data Portal,2025-04-27,501769,339.25,2025-04-27 03:47:13
Dataset_0244,Education,Internal System,2025-12-03,766013,118.81,2025-12-03 03:47:13
Dataset_0245,Finance,Internal System,2025-08-16,79971,244.62,2025-08-16 03:47:13
Dataset_0246,Transportation,Internal System,2025-05-23,878148,241.17,2025-05-23 03:47:13
Dataset_0247,Education,Third-Party Vendor,2025-01-08,761252,38.19,2025-01-08 03:47:13
Dataset_0248,Education,Internal System,2025-04-28,294456,111.73,2025-04-28 03:47:13
Dataset_0249,Cybersecurity,User Upload,2025-03-08,48620,333.25,2025-03-08 03:47:13
Dataset_0250,Finance,API Feed,2025-08-09,188794,316.4,2025-08-09 03:47:13
Dataset_0251,Healthcare,Third-Party Vendor,2025-11-10,646983,374.01,2025-11-10 03:47:13
Dataset_0252,Education,API Feed,2025-03-01,210387,161.97,2025-03-01 03:47:13
Dataset_0253,Finance,Open Data Portal,2025-09-22,803335,437.06,2025-09-22 03:47:13
Dataset_0254,Transportation,User Upload,2025-09-29,372775,232.51,2025-09-29 03:47:13
Dataset_0255,Transportation,API Feed,2025-01-25,874030,130.89,2025-01-25 03:47:13
Dataset_0256,Finance,Internal System,2025-04-26,438572,8.92,2025-04-26 03:47:13
Dataset_0257,Education,User Upload,2025-01-11,620344,448.4,2025-01-11 03:47:13
Dataset_0258,Cybersecurity,Open Data Portal,2025-06-27,716928,254.87,2025-06-27 03:47:13
Dataset_0259,Cybersecurity,User Upload,2025-05-11,144085,259.64,2025-05-11 03:47:13
Dataset_0260,Cybersecurity,Internal System,2025-02-10,146067,17.95,2025-02-10 03:47:13
Dataset_0261,Retail,User Upload,2025-07-22,516721,343.83,2025-07-22 03:47:13
Dataset_0262,Education,API Feed,2025-09-25,772799,333.96,2025-09-25 03:47:13
Dataset_0263,Healthcare,Internal System,2025-09-21,194402,388.99,2025-09-21 03:47:13
Dataset_0264,Retail,Open Data Portal,2025-07-03,477652,153.51,2025-07-03 03:47:13
Dataset_0265,Transportation,Third-Party Vendor,2025-06-07,840086,247.55,2025-06-07 03:47:13
Dataset_0266,Transportation,User Upload,2025-02-10,93877,389.53,2025-02-10 03:47:13
Dataset_0267,Education,Open Data Portal,2025-04-17,448698,301.06,2025-04-17 03:47:13
Dataset_0268,Transportation,Open Data Portal,2025-11-29,690220,120.81,2025-11-29 03:47:13
Dataset_0269,Healthcare,Third-Party Vendor,2025-04-17,639978,85.07,2025-04-17 03:47:13
Dataset_0270,Education,Internal System,2025-04-03,343241,434.56,2025-04-03 03:47:13
Dataset_0271,Finance,Internal System,2025-01-27,149628,258.63,2025-01-27 03:47:13
Dataset_0272,Finance,Open Data Portal,2024-12-05,115080,272.74,2024-12-05 03:47:13
Dataset_0273,Retail,Third-Party Vendor,2025-06-11,9783,8.63,2025-06-11 03:47:13
Dataset_0274,Education,API Feed,2025-11-06,516052,374.95,2025-11-06 03:47:13
Dataset_0275,Education,Open Data Portal,2025-02-08,36143,374.06,2025-02-08 03:47:13
Dataset_0276,Transportation,Third-Party Vendor,2025-01-20,113792,481.43,2025-01-20 03:47:13
Dataset_0277,Transportation,Third-Party Vendor,2025-02-16,334392,432.56,2025-02-16 03:47:13
Dataset_0278,Transportation,Internal System,2025-07-11,59012,454.43,2025-07-11 03:47:13
Dataset_0279,Retail,Internal System,2025-03-16,912204,243.37,2025-03-16 03:47:13
Dataset_0280,Education,API Feed,2025-02-04,866206,44.08,2025-02-04 03:47:13
Dataset_0281,Transportation,Third-Party Vendor,2025-02-13,389243,387.27,2025-02-13 03:47:13
Dataset_0282,Healthcare,Internal System,2025-05-19,259532,86.99,2025-05-19 03:47:13
Dataset_0283,Transportation,Open Data Portal,2025-11-03,115278,361.45,2025-11-03 03:47:13
Dataset_0284,Cybersecurity,Third-Party Vendor,2025-01-25,780237,215.03,2025-01-25 03:47:13
Dataset_0285,Healthcare,Internal System,2025-07-05,975834,176.86,2025-07-05 03:47:13
Dataset_0286,Healthcare,Internal System,2025-04-06,47412,71.11,2025-04-06 03:47:13
Dataset_0287,Transportation,Open Data Portal,2025-06-08,792301,492.86,2025-06-08 03:47:13
Dataset_0288,Transportation,Open Data Portal,2025-09-29,262217,131.79,2025-09-29 03:47:13
Dataset_0289,Finance,Open Data Portal,2025-03-25,369589,264.42,2025-03-25 03:47:13
Dataset_0290,Healthcare,User Upload,2025-04-26,316157,476.86,2025-04-26 03:47:13
Dataset_0291,Education,Open Data Portal,2025-10-26,903457,286.03,2025-10-26 03:47:13
Dataset_0292,Healthcare,API Feed,2025-10-07,975829,404.76,2025-10-07 03:47:13
Dataset_0293,Transportation,Internal System,2025-08-13,79326,21.73,2025-08-13 03:47:13
Dataset_0294,Retail,Third-Party Vendor,2025-01-07,881138,402.85,2025-01-07 03:47:13
Dataset_0295,Transportation,Third-Party Vendor,2025-10-03,122186,153.14,2025-10-03 03:47:13
Dataset_0296,Education,Internal System,2025-10-27,997355,398.85,2025-10-27 03:47:13
Dataset_0297,Healthcare,Third-Party Vendor,2025-08-04,694718,237.46,2025-08-04 03:47:13
Dataset_0298,Healthcare,Third-Party Vendor,2025-07-13,729554,433.85,2025-07-13 03:47:13
