date,incident_type,severity,status,description,reported_by,created_at
2025-09-06,Malware Infection,Medium,Resolved,Detected unusual traffic,IT Admin,2025-09-07 07:43:57
2025-11-23,Malware Infection,Medium,Resolved,Detected unusual traffic,Security Engineer,2025-11-23 13:43:57
2025-10-29,Malware Infection,Low,Closed,Suspicious login attempt,IT Admin,2025-10-31 00:43:57
2025-07-01,DDoS Attack,Low,Closed,Suspicious login attempt,IT Admin,2025-07-02 13:43:57
2025-10-23,Ransomware,Medium,Open,Data exfiltration suspected,Employee,2025-10-24 13:43:57
2025-06-13,Malware Infection,High,Open,Data exfiltration suspected,IT Admin,2025-06-15 02:43:57
2025-07-06,Phishing Attack,Medium,Resolved,Data exfiltration suspected,SOC Analyst,2025-07-06 15:43:57
2025-09-10,Ransomware,Critical,Resolved,Detected unusual traffic,IT Admin,2025-09-11 07:43:57
2025-09-21,Phishing Attack,High,Resolved,Data exfiltration suspected,Security Engineer,2025-09-21 22:43:57
2025-10-31,Ransomware,Critical,Closed,Malware signature found,Employee,2025-11-02 03:43:57
2025-06-16,Malware Infection,Critical,Investigating,Suspicious login attempt,Security Engineer,2025-06-17 08:43:57
2025-07-17,Malware Infection,Medium,Closed,Data exfiltration suspected,Employee,2025-07-18 01:43:57
2025-10-31,Data Breach,Medium,Investigating,Data exfiltration suspected,IT Admin,2025-10-31 14:43:57
2025-10-28,Malware Infection,High,Investigating,Detected unusual traffic,IT Admin,2025-10-28 09:43:57
2025-11-16,Ransomware,Low,Investigating,Detected unusual traffic,Employee,2025-11-17 01:43:57
2025-07-26,Malware Infection,High,Open,Suspicious login attempt,SOC Analyst,2025-07-26 16:43:57
2025-06-23,Malware Infection,High,Investigating,Detected unusual traffic,SOC Analyst,2025-06-24 11:43:57
2025-09-09,DDoS Attack,Low,Resolved,Malware signature found,IT Admin,2025-09-09 05:43:57
2025-07-27,DDoS Attack,Low,Investigating,Malware signature found,IT Admin,2025-07-27 05:43:57
2025-06-20,DDoS Attack,High,Investigating,Data exfiltration suspected,Employee,2025-06-20 19:43:57
2025-08-10,Ransomware,Medium,Resolved,Data exfiltration suspected,SOC Analyst,2025-08-10 23:43:57
2025-08-01,Ransomware,High,Open,Detected unusual traffic,SOC Analyst,2025-08-01 04:43:57
2025-07-29,Ransomware,Medium,Closed,Detected unusual traffic,SOC Analyst,2025-07-30 21:43:57
2025-09-09,Data Breach,Critical,Resolved,Malware signature found,Security Engineer,2025-09-10 02:43:57
2025-11-23,Ransomware,High,Investigating,Data exfiltration suspected,SOC Analyst,2025-11-23 22:43:57
2025-11-12,Phishing Attack,Medium,Investigating,Data exfiltration suspected,Employee,2025-11-13 18:43:57
2025-06-26,Unauthorized Access,Critical,Closed,Detected unusual traffic,SOC Analyst,2025-06-26 08:43:57
2025-07-23,Ransomware,Low,Closed,Suspicious login attempt,SOC Analyst,2025-07-23 15:43:57
2025-10-12,Data Breach,Medium,Closed,Suspicious login attempt,IT Admin,2025-10-12 07:43:57
2025-06-16,Malware Infection,High,Resolved,Detected unusual traffic,IT Admin,2025-06-17 17:43:57
2025-06-18,Unauthorized Access,Medium,Open,Data exfiltration suspected,Employee,2025-06-19 05:43:57
2025-10-07,Malware Infection,Medium,Open,Malware signature found,Employee,2025-10-09 03:43:57
2025-08-27,Unauthorized Access,Medium,Resolved,Malware signature found,SOC Analyst,2025-08-28 21:43:57
2025-07-04,Malware Infection,Medium,Investigating,Detected unusual traffic,SOC Analyst,2025-07-05 20:43:57
2025-09-30,DDoS Attack,Medium,Resolved,Data exfiltration suspected,IT Admin,2025-09-30 21:43:57
2025-09-06,Unauthorized Access,Low,Investigating,Malware signature found,Security Engineer,2025-09-06 06:43:57
2025-06-08,Ransomware,Low,Investigating,Detected unusual traffic,SOC Analyst,2025-06-09 07:43:57
2025-07-12,DDoS Attack,Critical,Closed,Data exfiltration suspected,IT Admin,2025-07-13 03:43:57
2025-07-01,Phishing Attack,Low,Open,Detected unusual traffic,SOC Analyst,2025-07-02 19:43:57
2025-10-18,Malware Infection,High,Resolved,Malware signature found,Security Engineer,2025-10-18 21:43:57
2025-07-01,Phishing Attack,Medium,Resolved,Suspicious login attempt,Employee,2025-07-01 10:43:57
2025-10-15,DDoS Attack,High,Open,Data exfiltration suspected,IT Admin,2025-10-16 08:43:57
2025-11-03,Unauthorized Access,Medium,Investigating,Data exfiltration suspected,Employee,2025-11-03 14:43:57
2025-09-15,Malware Infection,High,Open,Malware signature found,SOC Analyst,2025-09-16 17:43:57
2025-08-22,DDoS Attack,High,Closed,Data exfiltration suspected,Employee,2025-08-22 16:43:57
2025-06-12,DDoS Attack,High,Investigating,Malware signature found,Employee,2025-06-12 21:43:57
2025-08-26,Phishing Attack,Critical,Open,Data exfiltration suspected,Employee,2025-08-26 20:43:57
2025-08-25,Unauthorized Access,High,Open,Data exfiltration suspected,Employee,2025-08-26 14:43:57
2025-07-24,Data Breach,Low,Resolved,Suspicious login attempt,Employee,2025-07-26 02:43:57
2025-07-14,Phishing Attack,Medium,Resolved,Detected unusual traffic,Employee,2025-07-15 07:43:57
2025-09-28,Data Breach,High,Closed,Detected unusual traffic,Employee,2025-09-29 05:43:57
2025-06-28,Phishing Attack,High,Investigating,Malware signature found,SOC Analyst,2025-06-28 07:43:57
2025-11-08,Ransomware,High,Resolved,Suspicious login attempt,Employee,2025-11-08 18:43:57
2025-08-11,Unauthorized Access,Medium,Investigating,Detected unusual traffic,SOC Analyst,2025-08-12 15:43:57
2025-07-26,Data Breach,Medium,Investigating,Suspicious login attempt,SOC Analyst,2025-07-26 20:43:57
2025-06-15,Malware Infection,Medium,Closed,Suspicious login attempt,Security Engineer,2025-06-16 02:43:57
2025-06-28,Unauthorized Access,Critical,Closed,Malware signature found,Employee,2025-06-28 13:43:57
2025-06-15,Phishing Attack,High,Open,Detected unusual traffic,IT Admin,2025-06-16 20:43:57
2025-11-24,Ransomware,Critical,Investigating,Data exfiltration suspected,Security Engineer,2025-11-24 20:43:57
2025-09-30,Malware Infection,High,Resolved,Data exfiltration suspected,IT Admin,2025-09-30 12:43:57
2025-09-13,Data Breach,Medium,Closed,Suspicious login attempt,Security Engineer,2025-09-14 07:43:57
2025-08-21,DDoS Attack,Medium,Resolved,Suspicious login attempt,SOC Analyst,2025-08-21 16:43:57
2025-09-12,DDoS Attack,Low,Investigating,Malware signature found,Employee,2025-09-13 17:43:57
2025-06-21,Ransomware,Critical,Resolved,Detected unusual traffic,SOC Analyst,2025-06-22 04:43:57
2025-06-08,Data Breach,Low,Resolved,Detected unusual traffic,Security Engineer,2025-06-08 16:43:57
2025-07-20,Data Breach,High,Investigating,Data exfiltration suspected,SOC Analyst,2025-07-20 13:43:57
2025-10-14,Phishing Attack,Low,Open,Suspicious login attempt,SOC Analyst,2025-10-16 02:43:57
2025-07-21,Ransomware,Medium,Resolved,Data exfiltration suspected,Employee,2025-07-21 04:43:57
2025-09-13,Malware Infection,Medium,Resolved,Detected unusual traffic,IT Admin,2025-09-14 00:43:57
2025-10-09,Unauthorized Access,Medium,Closed,Suspicious login attempt,Employee,2025-10-10 18:43:57
2025-09-15,Data Breach,Medium,Closed,Suspicious login attempt,Security Engineer,2025-09-15 18:43:57
2025-10-24,Data Breach,High,Open,Malware signature found,Security Engineer,2025-10-26 00:43:57
2025-11-13,Malware Infection,Critical,Open,Data exfiltration suspected,IT Admin,2025-11-14 19:43:57
2025-09-29,Unauthorized Access,Critical,Resolved,Malware signature found,Security Engineer,2025-09-30 17:43:57
2025-08-26,Unauthorized Access,High,Closed,Data exfiltration suspected,Security Engineer,2025-08-26 14:43:57
2025-07-28,Ransomware,Medium,Closed,Data exfiltration suspected,SOC Analyst,2025-07-29 00:43:57
2025-10-08,Ransomware,Critical,Investigating,Detected unusual traffic,IT Admin,2025-10-09 12:43:57
2025-08-15,Malware Infection,Low,Resolved,Suspicious login attempt,Security Engineer,2025-08-16 01:43:57
2025-11-05,Malware Infection,Low,Resolved,Malware signature found,SOC Analyst,2025-11-06 15:43:57
2025-08-14,Ransomware,High,Investigating,Detected unusual traffic,Employee,2025-08-15 14:43:57
2025-11-22,Unauthorized Access,Critical,Open,Data exfiltration suspected,Security Engineer,2025-11-22 19:43:57
2025-09-23,Ransomware,Low,Resolved,Data exfiltration suspected,Security Engineer,2025-09-23 10:43:57
2025-10-04,Ransomware,High,Closed,Detected unusual traffic,Employee,2025-10-05 06:43:57
2025-10-03,Data Breach,Medium,Closed,Malware signature found,IT Admin,2025-10-04 06:43:57
2025-09-27,Malware Infection,High,Investigating,Malware signature found,Security Engineer,2025-09-29 02:43:57
2025-07-01,DDoS Attack,Critical,Investigating,Detected unusual traffic,Security Engineer,2025-07-01 07:43:57
2025-11-21,Ransomware,Critical,Open,Malware signature found,Employee,2025-11-22 09:43:57
2025-10-01,Ransomware,High,Investigating,Detected unusual traffic,Security Engineer,2025-10-01 18:43:57
2025-07-21,DDoS Attack,High,Open,Data exfiltration suspected,SOC Analyst,2025-07-22 20:43:57
2025-10-05,DDoS Attack,Critical,Resolved,Detected unusual traffic,SOC Analyst,2025-10-06 14:43:57
2025-07-07,Data Breach,Low,Resolved,Suspicious login attempt,Employee,2025-07-08 12:43:57
2025-11-28,DDoS Attack,Low,Open,Data exfiltration suspected,SOC Analyst,2025-11-29 11:43:57
2025-11-27,Unauthorized Access,Critical,Resolved,Detected unusual traffic,SOC Analyst,2025-11-29 00:43:57
2025-10-06,Phishing Attack,Low,Resolved,Data exfiltration suspected,SOC Analyst,2025-10-06 08:43:57
2025-07-23,Data Breach,Low,Resolved,Suspicious login attempt,SOC Analyst,2025-07-23 05:43:57
2025-10-19,DDoS Attack,Critical,Closed,Data exfiltration suspected,IT Admin,2025-10-20 02:43:57
2025-07-11,Ransomware,Critical,Resolved,Suspicious login attempt,SOC Analyst,2025-07-11 11:43:57
2025-06-30,Data Breach,Low,Closed,Detected unusual traffic,SOC Analyst,2025-07-01 18:43:57
2025-08-31,Data Breach,Low,Open,Detected unusual traffic,IT Admin,2025-08-31 07:43:57
2025-10-06,Malware Infection,Medium,Investigating,Malware signature found,Employee,2025-10-08 03:43:57
2025-09-15,DDoS Attack,High,Resolved,Data exfiltration suspected,SOC Analyst,2025-09-16 16:43:57
2025-08-20,Malware Infection,Medium,Closed,Data exfiltration suspected,SOC Analyst,2025-08-21 21:43:57
2025-09-17,Unauthorized Access,High,Investigating,Detected unusual traffic,SOC Analyst,2025-09-18 15:43:57
2025-07-31,Unauthorized Access,High,Investigating,Data exfiltration suspected,IT Admin,2025-08-02 02:43:57
2025-10-20,Phishing Attack,High,Open,Malware signature found,Security Engineer,2025-10-20 15:43:57
2025-08-11,Phishing Attack,Critical,Resolved,Data exfiltration suspected,Security Engineer,2025-08-11 11:43:57
2025-10-14,Unauthorized Access,Critical,Resolved,Malware signature found,IT Admin,2025-10-15 20:43:57
2025-06-13,Unauthorized Access,Medium,Closed,Data exfiltration suspected,SOC Analyst,2025-06-14 06:43:57
2025-09-23,DDoS Attack,High,Open,Malware signature found,Security Engineer,2025-09-23 16:43:57
2025-09-15,Unauthorized Access,Medium,Investigating,Suspicious login attempt,IT Admin,2025-09-16 08:43:57
2025-07-10,DDoS Attack,Low,Open,Data exfiltration suspected,Employee,2025-07-12 00:43:57
2025-11-23,Malware Infection,High,Resolved,Suspicious login attempt,Employee,2025-11-24 03:43:57
2025-10-03,Malware Infection,High,Investigating,Suspicious login attempt,SOC Analyst,2025-10-04 07:43:57
2025-11-21,DDoS Attack,Low,Open,Suspicious login attempt,Security Engineer,2025-11-21 06:43:57
2025-12-03,DDoS Attack,High,Resolved,Detected unusual traffic,Employee,2025-12-04 01:43:57
2025-10-12,Ransomware,Critical,Open,Data exfiltration suspected,SOC Analyst,2025-10-12 19:43:57
2025-10-15,Unauthorized Access,High,Investigating,Data exfiltration suspected,IT Admin,2025-10-16 10:43:57
2025-10-11,Unauthorized Access,High,Open,Detected unusual traffic,SOC Analyst,2025-10-12 22:43:57
2025-10-24,Malware Infection,High,Resolved,Malware signature found,Security Engineer,2025-10-25 00:43:57
2025-07-26,Phishing Attack,Critical,Investigating,Suspicious login attempt,Security Engineer,2025-07-27 20:43:57
2025-11-08,Data Breach,Low,Closed,Detected unusual traffic,SOC Analyst,2025-11-08 12:43:57
2025-11-01,Unauthorized Access,Critical,Resolved,Data exfiltration suspected,Security Engineer,2025-11-01 22:43:57
2025-09-24,Malware Infection,Low,Resolved,Detected unusual traffic,Security Engineer,2025-09-25 14:43:57
2025-08-19,Malware Infection,Medium,Closed,Detected unusual traffic,SOC Analyst,2025-08-20 08:43:57
2025-10-22,Malware Infection,Low,Open,Detected unusual traffic,SOC Analyst,2025-10-23 08:43:57
2025-08-25,DDoS Attack,Low,Open,Data exfiltration suspected,Employee,2025-08-25 23:43:57
2025-10-23,DDoS Attack,Low,Open,Data exfiltration suspected,IT Admin,2025-10-24 03:43:57
2025-06-14,Phishing Attack,Low,Closed,Suspicious login attempt,IT Admin,2025-06-14 10:43:57
2025-06-28,Unauthorized Access,Low,Open,Detected unusual traffic,Security Engineer,2025-06-29 01:43:57
2025-06-28,Data Breach,Medium,Resolved,Suspicious login attempt,Employee,2025-06-29 02:43:57
2025-09-05,Phishing Attack,Medium,Resolved,Detected unusual traffic,SOC Analyst,2025-09-06 19:43:57
2025-08-09,Phishing Attack,High,Resolved,Data exfiltration suspected,SOC Analyst,2025-08-11 00:43:57
2025-12-02,Phishing Attack,Critical,Closed,Malware signature found,IT Admin,2025-12-02 07:43:57
2025-09-07,Malware Infection,Medium,Closed,Detected unusual traffic,Security Engineer,2025-09-07 12:43:57
2025-09-27,DDoS Attack,Critical,Closed,Suspicious login attempt,IT Admin,2025-09-29 01:43:57
2025-12-05,Malware Infection,Low,Investigating,Suspicious login attempt,Security Engineer,2025-12-06 06:43:57
2025-08-12,Ransomware,High,Investigating,Malware signature found,SOC Analyst,2025-08-13 17:43:57
2025-10-11,Ransomware,High,Resolved,Detected unusual traffic,SOC Analyst,2025-10-12 17:43:57
2025-11-01,Unauthorized Access,Critical,Investigating,Data exfiltration suspected,Security Engineer,2025-11-02 04:43:57
2025-11-26,Data Breach,Critical,Open,Data exfiltration suspected,SOC Analyst,2025-11-26 15:43:57
2025-06-14,Ransomware,High,Investigating,Suspicious login attempt,IT Admin,2025-06-14 11:43:57
2025-08-15,Data Breach,Low,Investigating,Detected unusual traffic,SOC Analyst,2025-08-15 05:43:57
2025-07-16,Malware Infection,High,Resolved,Data exfiltration suspected,IT Admin,2025-07-16 19:43:57
2025-06-10,DDoS Attack,Low,Resolved,Detected unusual traffic,Employee,2025-06-11 03:43:57
2025-07-30,Data Breach,Medium,Investigating,Malware signature found,IT Admin,2025-07-31 16:43:57
2025-09-23,Malware Infection,Low,Investigating,Suspicious login attempt,Security Engineer,2025-09-23 18:43:57
2025-08-07,Malware Infection,Critical,Investigating,Detected unusual traffic,IT Admin,2025-08-07 18:43:57
2025-09-23,Malware Infection,Critical,Investigating,Data exfiltration suspected,Employee,2025-09-24 07:43:57
2025-06-12,Data Breach,High,Investigating,Detected unusual traffic,SOC Analyst,2025-06-12 17:43:57
2025-06-19,Phishing Attack,High,Closed,Suspicious login attempt,SOC Analyst,2025-06-20 04:43:57
2025-12-05,Ransomware,Critical,Closed,Suspicious login attempt,Employee,2025-12-05 06:43:57
2025-06-21,Data Breach,Low,Investigating,Suspicious login attempt,Security Engineer,2025-06-21 21:43:57
2025-09-11,Phishing Attack,Low,Investigating,Malware signature found,IT Admin,2025-09-13 03:43:57
2025-10-28,DDoS Attack,Medium,Closed,Data exfiltration suspected,IT Admin,2025-10-29 14:43:57
2025-10-28,Malware Infection,Low,Resolved,Detected unusual traffic,SOC Analyst,2025-10-29 21:43:57
2025-10-16,Malware Infection,Medium,Resolved,Malware signature found,SOC Analyst,2025-10-16 12:43:57
2025-09-11,Data Breach,High,Closed,Malware signature found,IT Admin,2025-09-11 04:43:57
2025-10-03,Phishing Attack,Medium,Investigating,Malware signature found,SOC Analyst,2025-10-04 12:43:57
2025-07-20,DDoS Attack,Critical,Investigating,Suspicious login attempt,Employee,2025-07-20 14:43:57
2025-06-19,Unauthorized Access,Medium,Investigating,Malware signature found,IT Admin,2025-06-19 13:43:57
2025-08-04,Phishing Attack,Low,Investigating,Detected unusual traffic,Security Engineer,2025-08-04 13:43:57
2025-07-16,Phishing Attack,Low,Closed,Suspicious login attempt,Security Engineer,2025-07-17 21:43:57
2025-09-07,Unauthorized Access,Medium,Open,Malware signature found,SOC Analyst,2025-09-07 16:43:57
2025-06-28,Phishing Attack,High,Investigating,Detected unusual traffic,Employee,2025-06-29 23:43:57
2025-09-25,Ransomware,High,Investigating,Data exfiltration suspected,Employee,2025-09-26 20:43:57
2025-06-19,DDoS Attack,Medium,Investigating,Data exfiltration suspected,Security Engineer,2025-06-19 06:43:57
2025-11-16,Phishing Attack,High,Closed,Detected unusual traffic,SOC Analyst,2025-11-17 15:43:57
2025-08-29,Phishing Attack,High,Investigating,Suspicious login attempt,IT Admin,2025-08-29 21:43:57
2025-09-14,Ransomware,Medium,Investigating,Suspicious login attempt,Security Engineer,2025-09-14 23:43:57
2025-11-17,Unauthorized Access,Low,Closed,Data exfiltration suspected,IT Admin,2025-11-17 11:43:57
2025-08-09,Data Breach,Low,Closed,Data exfiltration suspected,Employee,2025-08-09 13:43:57
2025-07-29,Unauthorized Access,Critical,Open,Malware signature found,Security Engineer,2025-07-29 08:43:57
2025-10-31,Data Breach,Low,Resolved,Detected unusual traffic,Security Engineer,2025-10-31 05:43:57
2025-11-18,Unauthorized Access,Critical,Closed,Data exfiltration suspected,Employee,2025-11-18 19:43:57
2025-06-08,DDoS Attack,Critical,Closed,Suspicious login attempt,IT Admin,2025-06-09 12:43:57
2025-07-15,Malware Infection,Critical,Resolved,Suspicious login attempt,Employee,2025-07-16 23:43:57
2025-08-11,Phishing Attack,Low,Investigating,Data exfiltration suspected,Security Engineer,2025-08-12 23:43:57
2025-09-06,Malware Infection,Critical,Open,Suspicious login attempt,Security Engineer,2025-09-06 09:43:57
2025-06-10,Unauthorized Access,Medium,Closed,Detected unusual traffic,Security Engineer,2025-06-10 09:43:57
2025-10-08,Data Breach,High,Investigating,Suspicious login attempt,SOC Analyst,2025-10-08 12:43:57
2025-07-22,DDoS Attack,High,Resolved,Data exfiltration suspected,Security Engineer,2025-07-23 15:43:57
2025-11-30,Malware Infection,Medium,Closed,Detected unusual traffic,IT Admin,2025-12-01 15:43:57
2025-09-13,Data Breach,Low,Open,Data exfiltration suspected,SOC Analyst,2025-09-14 13:43:57
2025-11-15,Data Breach,Low,Open,Suspicious login attempt,IT Admin,2025-11-15 18:43:57
2025-10-17,DDoS Attack,Critical,Resolved,Data exfiltration suspected,SOC Analyst,2025-10-17 19:43:57
2025-07-19,Unauthorized Access,High,Investigating,Suspicious login attempt,Employee,2025-07-19 15:43:57
2025-08-03,DDoS Attack,Low,Resolved,Suspicious login attempt,Security Engineer,2025-08-03 10:43:57
2025-07-21,Unauthorized Access,Medium,Open,Suspicious login attempt,IT Admin,2025-07-22 07:43:57
2025-06-13,DDoS Attack,High,Investigating,Suspicious login attempt,Security Engineer,2025-06-13 06:43:57
2025-11-17,Unauthorized Access,Critical,Open,Detected unusual traffic,IT Admin,2025-11-18 05:43:57
2025-07-05,DDoS Attack,Low,Open,Data exfiltration suspected,Employee,2025-07-06 06:43:57
2025-11-02,Phishing Attack,Medium,Resolved,Data exfiltration suspected,Employee,2025-11-02 04:43:57
2025-11-07,Data Breach,Low,Investigating,Data exfiltration suspected,IT Admin,2025-11-07 09:43:57
2025-09-25,Malware Infection,Low,Investigating,Malware signature found,Employee,2025-09-25 21:43:57
2025-07-04,Malware Infection,Low,Investigating,Detected unusual traffic,SOC Analyst,2025-07-05 07:43:57
2025-10-14,Ransomware,Medium,Investigating,Suspicious login attempt,SOC Analyst,2025-10-15 07:43:57
2025-10-05,Data Breach,Low,Open,Malware signature found,IT Admin,2025-10-06 22:43:57
2025-09-04,Malware Infection,High,Resolved,Detected unusual traffic,Employee,2025-09-05 19:43:57
2025-09-20,Malware Infection,High,Resolved,Data exfiltration suspected,SOC Analyst,2025-09-20 08:43:57
2025-11-05,Ransomware,Medium,Open,Detected unusual traffic,Employee,2025-11-05 09:43:57
2025-10-11,Unauthorized Access,Critical,Open,Detected unusual traffic,SOC Analyst,2025-10-12 12:43:57
2025-10-26,DDoS Attack,High,Open,Malware signature found,SOC Analyst,2025-10-27 07:43:57
2025-10-12,Phishing Attack,Critical,Resolved,Malware signature found,Employee,2025-10-14 03:43:57
2025-08-27,Data Breach,Critical,Resolved,Malware signature found,Employee,2025-08-28 14:43:57
2025-10-27,Phishing Attack,Low,Investigating,Suspicious login attempt,Security Engineer,2025-10-27 14:43:57
2025-09-11,Malware Infection,Low,Open,Detected unusual traffic,SOC Analyst,2025-09-12 01:43:57
2025-08-05,DDoS Attack,High,Investigating,Suspicious login attempt,IT Admin,2025-08-06 16:43:57
2025-08-20,Unauthorized Access,High,Investigating,Detected unusual traffic,Employee,2025-08-21 13:43:57
2025-07-23,Ransomware,Low,Open,Suspicious login attempt,Employee,2025-07-24 09:43:57
2025-07-13,Data Breach,High,Investigating,Suspicious login attempt,Security Engineer,2025-07-15 03:43:57
2025-07-27,Phishing Attack,High,Investigating,Detected unusual traffic,IT Admin,2025-07-27 19:43:57
2025-09-15,Phishing Attack,Critical,Open,Data exfiltration suspected,Security Engineer,2025-09-15 05:43:57
2025-07-17,DDoS Attack,Critical,Closed,Malware signature found,Employee,2025-07-18 16:43:57
2025-06-16,Phishing Attack,High,Open,Suspicious login attempt,IT Admin,2025-06-18 02:43:57
2025-07-14,Ransomware,Critical,Open,Malware signature found,IT Admin,2025-07-14 14:43:57
2025-11-22,Malware Infection,High,Resolved,Malware signature found,SOC Analyst,2025-11-23 01:43:57
2025-07-12,Unauthorized Access,Critical,Investigating,Detected unusual traffic,Security Engineer,2025-07-13 08:43:57
2025-07-13,Phishing Attack,Critical,Resolved,Data exfiltration suspected,SOC Analyst,2025-07-14 22:43:57
